first_peak,last_peak,gradient,_max_peak,_min_peak,signal_mean,signal_variance,direction,,,,
2.1875,2.192382813,0.001154551,4.995117188,0,2.455298195,1.730154583,left,,,,
2.827148438,2.817382813,-0.00163561,4.995117188,0,2.485550861,1.495385049,right,,,,
2.172851563,2.182617188,0.001507318,4.995117188,0,2.479410555,1.306925251,left,,,,
2.836914063,2.802734375,-0.005755113,4.995117188,0,2.474150751,1.366719499,right,,,,
2.182617188,2.1875,0.000801856,4.995117188,0,2.478310757,1.365167757,left,,,,
2.822265625,2.841796875,0.00314522,4.995117188,0,2.476906801,1.341008037,right,,,,
2.172851563,2.172851563,0,4.995117188,0,2.476591222,1.332430303,left,,,,
2.802734375,3.081054688,0.046857584,4.995117188,0,2.470202324,1.502184406,right,,,,
2.836914063,2.16796875,-0.128162079,4.995117188,0,2.488642694,1.376420601,left,,,,
2.856445313,2.919921875,0.011255282,4.995117188,0,2.468665233,1.452495953,right,,,,
2.197265625,1.962890625,-0.044644307,4.995117188,0,2.493765226,1.404231406,left,,,,
2.802734375,2.802734375,0,4.995117188,0,2.477149828,1.419015961,right,,,,
2.124023438,1.625976563,-0.087368418,4.995117188,0,2.480978286,1.418804023,left,,,,
2.802734375,2.807617188,0.000767699,4.995117188,0,2.475504885,1.422557467,right,,,,
2.827148438,2.900390625,0.012456588,4.995117188,0,2.452938807,1.499132937,right,,,,
2.16796875,2.16796875,0,4.995117188,0,2.474717882,1.536743492,left,,,,
2.880859375,2.817382813,-0.01068512,4.995117188,0,2.474601018,1.543137485,right,,,,
2.114257813,2.192382813,0.013087639,4.995117188,0,2.472983205,1.465719182,left,,,,
2.8515625,2.822265625,-0.004418729,4.995117188,0,2.473509889,1.46390485,right,,,,
2.119140625,2.16796875,0.007863095,4.995117188,0,2.473045875,1.406871058,left,,,,
2.875976563,2.802734375,-0.011627141,4.995117188,0,2.473454005,1.501862982,right,,,,
2.1875,2.192382813,0.000710734,4.995117188,0,2.478387421,1.347037526,left,,,,
2.861328125,2.861328125,0,4.995117188,0,2.472093485,1.391364823,right,,,,
2.866210938,2.192382813,-0.118833992,4.995117188,0,2.474809307,1.336132283,left,,,,
2.822265625,3.115234375,0.050081597,4.995117188,0,2.47021287,1.372763955,right,,,,
2.91015625,2.172851563,-0.148950096,4.995117188,0,2.473451728,1.334444162,left,,,,
2.83203125,2.827148438,-0.000726677,4.995117188,0,2.472930778,1.324414125,right,,,,
2.153320313,2.197265625,0.007043774,4.995117188,0,2.470921878,1.313791111,left,,,,
2.861328125,2.817382813,-0.007077476,4.995117188,0,2.472353451,1.333434886,right,,,,
2.172851563,2.182617188,0.001627836,4.995117188,0,2.47311562,1.319093333,left,,,,
2.817382813,1.943359375,-0.29130385,4.194335938,0.649414063,2.474132195,1.285280835,right,,,,
2.133789063,2.817382813,0.087977448,4.995117188,0,2.471760558,1.276933086,left,,,,
2.114257813,2.1875,0.007398313,4.995117188,0,2.472000899,1.315456755,right,,,,
2.177734375,2.172851563,-0.000750131,4.995117188,0,2.527377619,1.249176284,left,,,,
2.861328125,2.807617188,-0.008566968,4.995117188,0,2.501869685,1.374050303,right,,,,
2.192382813,2.1875,-0.000822073,4.995117188,0,2.493673122,1.323914243,left,,,,
2.8125,2.807617188,-0.000713851,4.995117188,0,2.490589844,1.316006884,right,,,,
2.153320313,2.177734375,0.004261105,4.995117188,0,2.486523688,1.323859942,left,,,,
2.841796875,2.807617188,-0.005202671,4.995117188,0,2.483273602,1.322516598,right,,,,
2.197265625,2.192382813,-0.000843388,4.995117188,0,2.484812769,1.288584881,left,,,,
2.8125,2.817382813,0.000767801,4.995117188,0,2.481861852,1.299449627,right,,,,
2.16796875,2.177734375,0.001557752,4.995117188,0,2.47890449,1.285019916,left,,,,
2.827148438,2.807617188,-0.00288088,4.995117188,0.239257813,2.478266884,1.282981499,right,,,,
2.084960938,2.197265625,0.01733352,4.995117188,0,2.478215471,1.258539538,left,,,,
2.83203125,2.802734375,-0.004283381,4.995117188,0,2.476771763,1.244410796,right,,,,
2.197265625,2.192382813,-0.000786321,4.995117188,0,2.484773535,1.323512755,left,,,,
2.8125,2.817382813,0.000775202,4.995117188,0,2.476345662,1.372969114,right,,,,
2.1875,2.1875,0,4.995117188,0,2.475048183,1.349888589,left,,,,
2.8125,2.83203125,0.003129946,4.995117188,0,2.47642988,1.344755566,right,,,,
2.16796875,2.1875,0.002906648,4.995117188,0,2.476593197,1.326638031,left,,,,
2.8125,2.802734375,-0.001528356,4.995117188,0,2.473428291,1.334186966,right,,,,
2.822265625,2.192382813,-0.120664774,4.995117188,0,2.475854022,1.311297378,left,,,,
2.8125,2.802734375,-0.001528448,4.995117188,0,2.472737964,1.314192564,right,,,,
2.192382813,2.197265625,0.000736492,4.995117188,0,2.47512167,1.306770548,left,,,,
2.8125,2.822265625,0.001473056,4.995117188,0,2.473408683,1.302023672,right,,,,
2.172851563,2.1875,0.002393856,4.995117188,0,2.473581247,1.288700626,left,,,,
2.841796875,2.822265625,-0.00298672,4.995117188,0,2.473005308,1.292068035,right,,,,
2.192382813,2.192382813,0,4.995117188,0,2.473255476,1.28366753,legt,,,,
2.827148438,3.022460938,0.033909508,4.995117188,0.131835938,2.446954037,1.303170084,right,,,,
2.153320313,2.143554688,-0.001881927,4.526367188,0,2.491455078,1.193987726,left,,,,
2.827148438,2.802734375,-0.004069518,4.995117188,0.063476563,2.474842638,1.218807838,right,,,,
2.153320313,2.1484375,-0.000935426,4.536132813,0,2.487786181,1.155941733,left,,,,
2.841796875,2.8125,-0.004810806,4.995117188,0.2734375,2.477973489,1.178991485,right,,,,
2.8125,1.821289063,-0.201472908,4.516601563,0,2.483436908,1.158516841,left,,,,
2.8125,2.807617188,-0.000739771,4.995117188,0.25390625,2.47893129,1.171498627,right,,,,
2.197265625,2.197265625,0,4.296875,0,2.481133122,1.13737664,left,,,,
2.822265625,2.836914063,0.00225042,4.995117188,0.185546875,2.478095794,1.155970665,right,,,,
2.182617188,2.08984375,-0.015235542,4.580078125,0,2.481159422,1.138213512,left,,,,
2.807617188,3.251953125,0.076743577,4.995117188,0.170898438,2.458152771,1.464041797,right,,,,
2.143554688,2.192382813,0.008138322,4.877929688,0,2.484774026,1.299715222,left,,,,
2.802734375,2.807617188,0.000726614,4.995117188,0.297851563,2.478531578,1.300503358,right,,,,
2.133789063,2.099609375,-0.00647361,4.921875,0,2.489465703,1.293848927,left,,,,
2.890625,2.817382813,-0.011516368,4.995117188,0.336914063,2.47719966,1.287015494,right,,,,
2.177734375,1.89453125,-0.051584258,4.453125,0,2.482051815,1.255303058,left,,,,
2.8125,2.827148438,0.002260771,4.995117188,0.390625,2.478243671,1.251115165,right,,,,
2.163085938,1.967773438,-0.034090087,4.780273438,0,2.482571883,1.220739214,left,,,,
2.846679688,2.939453125,0.016896837,4.995117188,0.234375,2.476613085,1.238159534,right,,,,
